Year,Region,Current residence,Population (1yr ago) Est,Same house (1yr ago) Est,Same state of residence (1yr ago) Est,Different state of residence (1yr ago) Total Est,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Abroad(1yr ago) Est
2018.0,West_states,New Mexico,2072546.0,1797834.0,204099.0,60068.0,1099.0,197.0,3284.0,352.0,7524.0,4877.0,55.0,0.0,30.0,2196.0,232.0,313.0,665.0,482.0,0.0,434.0,378.0,129.0,524.0,257.0,162.0,449.0,851.0,641.0,1010.0,675.0,303.0,344.0,868.0,538.0,1021.0,,1099.0,405.0,205.0,1090.0,2159.0,2009.0,1086.0,0.0,1270.0,0.0,776.0,14250.0,1199.0,192.0,987.0,2714.0,204.0,285.0,248.0,10545.0
2018.0,Northeast_states,New York,19329704.0,17327068.0,1614505.0,254447.0,1395.0,415.0,3541.0,52.0,25255.0,4553.0,14420.0,1328.0,2802.0,24084.0,7994.0,1181.0,491.0,5977.0,2007.0,2352.0,1262.0,986.0,2069.0,731.0,7775.0,13568.0,3743.0,1286.0,447.0,2335.0,372.0,866.0,1853.0,2474.0,36401.0,647.0,,9270.0,294.0,5284.0,1303.0,1414.0,19339.0,1362.0,4457.0,431.0,3144.0,14708.0,364.0,4072.0,9302.0,1962.0,1126.0,1935.0,18.0,133684.0
2018.0,South_states,North Carolina,10274540.0,8723401.0,1178884.0,318681.0,3287.0,1562.0,2622.0,1897.0,17536.0,5471.0,2702.0,1988.0,2031.0,37585.0,17020.0,3402.0,244.0,6544.0,3506.0,1976.0,1815.0,3906.0,2454.0,1235.0,8717.0,5822.0,5793.0,3342.0,3441.0,2993.0,331.0,1052.0,857.0,1862.0,11947.0,2306.0,25596.0,,177.0,9431.0,2034.0,3066.0,12058.0,1535.0,26091.0,57.0,7476.0,18748.0,1735.0,1208.0,27843.0,6790.0,4624.0,1920.0,1046.0,53574.0
2018.0,Midwest_states,North Dakota,749825.0,623183.0,89228.0,33735.0,4.0,112.0,530.0,464.0,1040.0,522.0,0.0,0.0,53.0,1355.0,1194.0,204.0,433.0,467.0,113.0,166.0,306.0,0.0,778.0,0.0,281.0,0.0,411.0,10670.0,275.0,540.0,2167.0,13.0,14.0,0.0,170.0,1285.0,2105.0,179.0,,139.0,1631.0,399.0,733.0,0.0,114.0,1225.0,644.0,1098.0,321.0,0.0,132.0,683.0,0.0,475.0,290.0,3679.0
2018.0,Midwest_states,Ohio,11555163.0,9892715.0,1426959.0,198026.0,1744.0,1200.0,2432.0,583.0,8799.0,2216.0,2510.0,996.0,789.0,15037.0,5178.0,735.0,334.0,9797.0,14252.0,2395.0,803.0,16598.0,1463.0,761.0,2272.0,3415.0,15409.0,1405.0,2527.0,3410.0,677.0,1796.0,1460.0,28.0,3585.0,1148.0,9067.0,5818.0,221.0,,35.0,1737.0,16881.0,42.0,4605.0,134.0,5467.0,8189.0,1922.0,314.0,6695.0,2032.0,6260.0,2778.0,75.0,37463.0
2018.0,South_states,Oklahoma,3895983.0,3226343.0,548493.0,106943.0,541.0,661.0,3631.0,8526.0,8330.0,4039.0,0.0,0.0,0.0,5489.0,1590.0,931.0,216.0,3201.0,813.0,603.0,5393.0,214.0,2107.0,0.0,871.0,701.0,1395.0,1167.0,446.0,5861.0,46.0,965.0,1106.0,0.0,390.0,1528.0,1221.0,819.0,13.0,932.0,,1595.0,941.0,56.0,803.0,302.0,2210.0,31551.0,1944.0,152.0,1352.0,1258.0,0.0,392.0,641.0,14204.0
2018.0,West_states,Oregon,4152756.0,3438653.0,554097.0,140627.0,315.0,4317.0,7736.0,436.0,43058.0,3292.0,157.0,0.0,226.0,3824.0,1203.0,2729.0,5745.0,2022.0,854.0,139.0,899.0,942.0,238.0,406.0,327.0,1425.0,2412.0,1693.0,1070.0,681.0,1515.0,96.0,5375.0,0.0,1143.0,1440.0,2842.0,3570.0,238.0,1390.0,700.0,,1107.0,0.0,817.0,354.0,303.0,5403.0,2512.0,495.0,1628.0,21672.0,185.0,419.0,1277.0,19379.0
2018.0,Northeast_states,Pennsylvania,12674699.0,11119060.0,1239854.0,253520.0,1202.0,553.0,3269.0,1486.0,11568.0,4822.0,3891.0,5999.0,1336.0,17029.0,4255.0,783.0,110.0,3659.0,2045.0,365.0,1065.0,921.0,986.0,916.0,20660.0,5651.0,3138.0,2019.0,1287.0,979.0,328.0,328.0,409.0,917.0,43726.0,1335.0,43048.0,7579.0,446.0,12317.0,1576.0,1451.0,,535.0,3272.0,455.0,2566.0,9760.0,2041.0,1002.0,10010.0,3059.0,5485.0,1725.0,156.0,62265.0
2018.0,Northeast_states,Rhode Island,1047975.0,928114.0,78525.0,32841.0,183.0,0.0,50.0,0.0,2219.0,504.0,4791.0,0.0,45.0,657.0,739.0,0.0,42.0,293.0,0.0,0.0,0.0,86.0,0.0,606.0,521.0,11413.0,151.0,0.0,0.0,287.0,0.0,37.0,42.0,677.0,1038.0,43.0,3252.0,673.0,173.0,623.0,0.0,87.0,422.0,,43.0,0.0,0.0,960.0,194.0,134.0,1278.0,501.0,0.0,77.0,0.0,8495.0
2018.0,South_states,South Carolina,5029034.0,4309043.0,511153.0,186505.0,4636.0,715.0,1460.0,1382.0,12103.0,1622.0,6800.0,978.0,743.0,15772.0,16110.0,857.0,0.0,3454.0,3095.0,1036.0,1091.0,1408.0,1913.0,192.0,7826.0,4451.0,2721.0,366.0,895.0,2960.0,553.0,541.0,375.0,787.0,4921.0,944.0,12721.0,27734.0,498.0,5784.0,228.0,748.0,7040.0,1684.0,,200.0,5666.0,5387.0,2112.0,439.0,6507.0,3842.0,1299.0,1643.0,266.0,22333.0
