State,Net Migration,Net Migration Change,Net Population Change,Population,Region,Year
United States,1041605,3.260435227,2334155,320635163,0,2015
Northeast Region,-115512,-2.061965074,28673,56034684,1,2015
Midwest Region,-94140,-1.3884367,115416,67860583,2,2015
South Region,875544,7.277358372999999,1373304,120997341,3,2015
West Region,375713,4.987285053,816762,75742555,4,2015
Alabama,3036,0.626357391,10548,4852347,3,2015
Alaska,-5893,-7.997117618,1215,737498,4,2015
Arizona,65072,9.597577125,99263,6829676,4,2015
Arkansas,3197,1.0754460559999999,10656,2978048,3,2015
California,76932,1.984957315,321073,38918045,4,2015
Colorado,69676,12.90209805,100522,5450623,4,2015
Connecticut,-13488,-3.756241953,-7402,3587122,1,2015
Delaware,6290,6.71384862,8765,941252,3,2015
District of Columbia,8225,12.29696919,13072,675400,3,2015
Florida,330283,16.49149357,363131,20209042,3,2015
Georgia,57895,5.719232085,111169,10178447,3,2015
Hawaii,450,0.317282371,7514,1422052,4,2015
Idaho,9761,5.947892416,19947,1651059,4,2015
Illinois,-77601,-6.0288059789999995,-25580,12858913,2,2015
Indiana,-6171,-0.934853681,14778,6608422,2,2015
Iowa,1767,0.567226992,11610,3120960,2,2015
Kansas,-3838,-1.321287288,8536,2909011,2,2015
Kentucky,2142,0.484597569,11627,4425976,3,2015
Louisiana,242,0.0519947,20615,4664628,3,2015
Maine,-630,-0.473902455,-2251,1328262,1,2015
Maryland,1645,0.27547874899999997,28279,5985562,3,2015
Massachusetts,17709,2.612558812,31632,6794228,1,2015
Michigan,-15172,-1.52777503,1867,9931715,2,2015
Minnesota,4535,0.8295900409999999,30953,5482032,2,2015
Mississippi,-9109,-3.047028913,-1997,2988471,3,2015
Missouri,744,0.122691961,15530,6071732,2,2015
Montana,5659,5.514670055,8606,1030475,4,2015
Nebraska,1748,0.927173886,11956,1891277,2,2015
Nevada,35254,12.40340733,49311,2866939,4,2015
New Hampshire,2752,2.061661818,3009,1336350,1,2015
New Jersey,-27315,-3.080788389,3424,8867949,1,2015
New Mexico,-8695,-4.16142301,-277,2089291,4,2015
New York,-82040,-4.174456564,3617,19654666,1,2015
North Carolina,66008,6.612526324,98759,10031646,3,2015
North Dakota,11421,15.31512263,16665,754066,2,2015
Ohio,-5808,-0.500253507,14827,11617527,2,2015
Oklahoma,17574,4.5132784610000005,31313,3909500,3,2015
Oregon,41961,10.51781193,52548,4015792,4,2015
Pennsylvania,-11862,-0.9276921379999999,-3487,12784826,1,2015
Rhode Island,-620,-0.587120934,129,1056065,1,2015
South Carolina,56354,11.60077834,68321,4891938,3,2015
South Dakota,387,0.45446085,4859,853988,2,2015
Tennessee,34080,5.19021933,49947,6591170,3,2015
Texas,289708,10.64430061,505723,27470056,3,2015
Utah,11419,3.858608475,44956,2981835,4,2015
Vermont,-18,-0.028790096,2,625216,1,2015
Virginia,12684,1.521519989,50815,8361808,3,2015
Washington,73996,10.4085492,109002,7163657,4,2015
West Virginia,-4710,-2.5517812490000003,-7439,1842050,3,2015
Wisconsin,-6152,-1.068754606,9415,5760940,2,2015
Wyoming,121,0.20716624,3082,585613,4,2015
Puerto Rico,-64757,-18.48059947,-61642,3473232,X,2015
United States,1046709,3.2527882619999997,2306148,322941311,0,2016
Northeast Region,-139563,-2.49048391,7646,56042330,1,2016
Midwest Region,-84347,-1.241783812,126957,67987540,2,2016
South Region,869982,7.150073671,1354419,122351760,3,2016
West Region,400637,5.261078373,817126,76559681,4,2016
Alabama,3620,0.745172435,11178,4863525,3,2016
Alaska,-2882,-3.897349072,3958,741456,4,2016
Arizona,82382,11.96478216,111396,6941072,4,2016
Arkansas,4435,1.486268521,11870,2989918,3,2016
California,19523,0.500043786,249072,39167117,4,2016
Colorado,58435,10.63436968,88592,5539215,4,2016
Connecticut,-14824,-4.137740652,-8981,3578141,1,2016
Delaware,5087,5.382576092000001,7669,948921,3,2016
District of Columbia,5508,8.092770062,10415,685815,3,2016
Florida,372675,18.25830493,404435,20613477,3,2016
Georgia,72782,7.107500233,123443,10301890,3,2016
Hawaii,-1857,-1.3033357890000001,5507,1427559,4,2016
Idaho,21910,13.14558329,31321,1682380,4,2016
Illinois,-88670,-6.905913836,-38386,12820527,2,2016
Indiana,4600,0.6947210109999999,25882,6634304,2,2016
Iowa,166,0.053100195999999995,10411,3131371,2,2016
Kansas,-10521,-3.615553996,1833,2910844,2,2016
Kentucky,3343,0.754273559,12206,4438182,3,2016
Louisiana,-6727,-1.4400450919999999,13507,4678135,3,2016
Maine,4626,3.478746072,3055,1331317,1,2016
Maryland,-8296,-1.383948549,17761,6003323,3,2016
Massachusetts,14092,2.069638671,29380,6823608,1,2016
Michigan,573,0.05763924700000001,18856,9950571,2,2016
Minnesota,13722,2.493826317,40712,5522744,2,2016
Mississippi,-7182,-2.403449965,-533,2987938,3,2016
Missouri,-205,-0.033720247,15403,6087135,2,2016
Montana,7845,7.574828589,10384,1040859,4,2016
Nebraska,3908,2.058525221,14339,1905616,2,2016
Nevada,37516,12.9712117,50624,2917563,4,2016
New Hampshire,5489,4.098322406,5957,1342307,1,2016
New Jersey,-28928,-3.2615553630000003,2878,8870827,1,2016
