Year,Current residence,Region,Moved to,Num_moved
2015,Nebraska,Midwest_states,Alabama,232.0
2015,Nevada,West_states,Alabama,150.0
2015,New Hampshire,Northeast_states,Alabama,152.0
2015,New Jersey,Northeast_states,Alabama,616.0
2015,New Mexico,West_states,Alabama,751.0
2015,New York,Northeast_states,Alabama,1310.0
2015,North Carolina,South_states,Alabama,3044.0
2015,North Dakota,Midwest_states,Alabama,109.0
2015,Ohio,Midwest_states,Alabama,1289.0
2015,Oklahoma,South_states,Alabama,1612.0
2015,Oregon,West_states,Alabama,400.0
2015,Pennsylvania,Northeast_states,Alabama,369.0
2015,Rhode Island,Northeast_states,Alabama,136.0
2015,South Carolina,South_states,Alabama,1741.0
2015,South Dakota,Midwest_states,Alabama,325.0
2015,Tennessee,South_states,Alabama,8897.0
2015,Texas,South_states,Alabama,8636.0
2015,Utah,West_states,Alabama,93.0
2015,Vermont,Northeast_states,Alabama,0.0
2015,Virginia,South_states,Alabama,2671.0
2015,Washington,West_states,Alabama,1322.0
2015,West Virginia,South_states,Alabama,41.0
2015,Wisconsin,Midwest_states,Alabama,552.0
2015,Wyoming,West_states,Alabama,172.0
2015,Puerto Rico,,Alabama,629.0
2016,Alabama,South_states,Alabama,
2016,Alaska,West_states,Alabama,477.0
2016,Arizona,West_states,Alabama,416.0
2016,Arkansas,South_states,Alabama,1405.0
2016,California,West_states,Alabama,3364.0
2016,Colorado,West_states,Alabama,954.0
2016,Connecticut,Northeast_states,Alabama,896.0
2016,Delaware,South_states,Alabama,128.0
2016,District of Columbia ,South_states,Alabama,360.0
2016,Florida,South_states,Alabama,15830.0
2016,Georgia,South_states,Alabama,13840.0
2016,Hawaii,West_states,Alabama,749.0
2016,Idaho,West_states,Alabama,376.0
2016,Illinois,Midwest_states,Alabama,1397.0
2016,Indiana,Midwest_states,Alabama,1502.0
2016,Iowa,Midwest_states,Alabama,330.0
2016,Kansas,Midwest_states,Alabama,44.0
2016,Kentucky,South_states,Alabama,2161.0
2016,Louisiana,South_states,Alabama,5740.0
2016,Maine,Northeast_states,Alabama,402.0
2016,Maryland,South_states,Alabama,1641.0
2016,Massachusetts,Northeast_states,Alabama,583.0
2016,Michigan,Midwest_states,Alabama,2403.0
2016,Minnesota,Midwest_states,Alabama,266.0
2016,Mississippi,South_states,Alabama,8306.0
2016,Missouri,Midwest_states,Alabama,819.0
2016,Montana,West_states,Alabama,212.0
2016,Nebraska,Midwest_states,Alabama,232.0
2016,Nevada,West_states,Alabama,150.0
2016,New Hampshire,Northeast_states,Alabama,152.0
2016,New Jersey,Northeast_states,Alabama,616.0
2016,New Mexico,West_states,Alabama,751.0
2016,New York,Northeast_states,Alabama,1310.0
2016,North Carolina,South_states,Alabama,3044.0
2016,North Dakota,Midwest_states,Alabama,109.0
2016,Ohio,Midwest_states,Alabama,1289.0
2016,Oklahoma,South_states,Alabama,1612.0
2016,Oregon,West_states,Alabama,400.0
2016,Pennsylvania,Northeast_states,Alabama,369.0
2016,Rhode Island,Northeast_states,Alabama,136.0
2016,South Carolina,South_states,Alabama,1741.0
2016,South Dakota,Midwest_states,Alabama,325.0
2016,Tennessee,South_states,Alabama,8897.0
2016,Texas,South_states,Alabama,8636.0
2016,Utah,West_states,Alabama,93.0
2016,Vermont,Northeast_states,Alabama,0.0
2016,Virginia,South_states,Alabama,2671.0
2016,Washington,West_states,Alabama,1322.0
2016,West Virginia,South_states,Alabama,41.0
2016,Wisconsin,Midwest_states,Alabama,552.0
2016,Wyoming,West_states,Alabama,172.0
2016,Puerto Rico,,Alabama,629.0
2017,Alabama,South_states,Alabama,
2017,Alaska,West_states,Alabama,477.0
2017,Arizona,West_states,Alabama,416.0
2017,Arkansas,South_states,Alabama,1405.0
2017,California,West_states,Alabama,3364.0
2017,Colorado,West_states,Alabama,954.0
2017,Connecticut,Northeast_states,Alabama,896.0
2017,Delaware,South_states,Alabama,128.0
2017,District of Columbia ,South_states,Alabama,360.0
2017,Florida,South_states,Alabama,15830.0
2017,Georgia,South_states,Alabama,13840.0
2017,Hawaii,West_states,Alabama,749.0
2017,Idaho,West_states,Alabama,376.0
2017,Illinois,Midwest_states,Alabama,1397.0
2017,Indiana,Midwest_states,Alabama,1502.0
2017,Iowa,Midwest_states,Alabama,330.0
2017,Kansas,Midwest_states,Alabama,44.0
2017,Kentucky,South_states,Alabama,2161.0
2017,Louisiana,South_states,Alabama,5740.0
2017,Maine,Northeast_states,Alabama,402.0
