Region,NAME,Population 2010,Population 2011,Population 2012,Population 2013,Population 2014,Population 2015,Population 2016,Population 2017,Population 2018,Net Pop Chg 2010,Net Pop Chg 2011,Net Pop Chg 2012,Net Pop Chg 2013,Net Pop Chg 2014,Net Pop Chg 2015,Net Pop Chg 2016,Net Pop Chg 2017,Net Pop Chg 2018,Net Migration 2010,Net Migration 2011,Net Migration 2012,Net Migration 2013,Net Migration 2014,Net Migration 2015,Net Migration 2016,Net Migration 2017,Net Migration 2018,%Net Migration 2011,%Net Migration 2012,%Net Migration 2013,%Net Migration 2014,%Net Migration 2015,%Net Migration 2016,%Net Migration 2017,%Net Migration 2018
2,North Dakota,674715,685225,701176,722036,737401,754066,754434,754942,758080,2139,10510,15951,20860,15365,16665,368,508,3138,1253,7286,11588,16331,10275,11421,-4866,-4289,-1295,10.71517861,16.71666423,22.94949733,14.08077224,15.31512263,-6.45144183,-5.683143232999999,-1.711805909
2,Ohio,11539336,11544663,11548923,11576684,11602700,11617527,11634370,11659650,11676341,2585,5327,4260,27761,26016,14827,16843,25280,16691,-5311,-21931,-21690,3880,-649,-5808,-3903,10883,956,-1.90010405,-1.878443651,0.33555876,-0.055998037,-0.500253507,-0.335714544,0.9344029070000001,0.081933525
3,Oklahoma,3759944,3788379,3818814,3853214,3878187,3909500,3926331,3931316,3940235,8362,28435,30435,34400,24973,31313,16831,4985,8919,2760,13643,14945,19428,10632,17574,3339,-6105,-55,3.6148426610000004,3.9291759789999996,5.064632194,2.750342402,4.5132784610000005,0.852238901,-1.553900296,-0.013974374
4,Oregon,3837491,3872036,3899001,3922468,3963244,4015792,4089976,4143625,4181886,6412,34545,26965,23467,40776,52548,74184,53649,38261,2560,21653,15097,11946,28978,41961,63721,45679,31019,5.6172058289999995,3.8854531260000003,3.054669142,7.349494883999999,10.51781193,15.72238436,11.09575264,7.451554625
1,Pennsylvania,12711160,12745815,12767118,12776309,12788313,12784826,12782275,12787641,12800922,8292,34655,21303,9191,12004,-3487,-2551,5366,13281,3742,19765,6422,-749,-2067,-11862,-12447,3640,10944,1.552816075,0.503430946,-0.058645224,-0.16170784800000002,-0.9276921379999999,-0.9736731590000001,0.284709578,0.8553821490000001
1,Rhode Island,1053959,1053649,1054621,1055081,1055936,1056065,1056770,1055673,1058287,995,-310,972,460,855,129,705,-1097,2614,493,-1563,-667,-740,-70,-620,-338,-1686,1884,-1.483198014,-0.63274628,-0.701520878,-0.066318746,-0.587120934,-0.319949262,-1.596256088,1.7824367540000001
3,South Carolina,4635649,4671994,4717354,4764080,4823617,4891938,4957968,5021268,5084156,10283,36345,45360,46726,59537,68321,66030,63300,62888,5650,20816,29431,34343,46059,56354,55364,55019,56397,4.472883199,6.269018892999999,7.24426284,9.607938172999999,11.60077834,11.241528599999999,11.02669583,11.16172859
2,South Dakota,816166,823579,833566,842316,849129,853988,862996,872868,878698,1968,7413,9987,8750,6813,4859,9008,9872,5830,856,2911,5397,3877,1451,387,4474,5759,1178,3.550552068,6.513612267,4.626817401,1.715692795,0.45446085,5.211463823,6.635312444,1.345082058
3,Tennessee,6355311,6399291,6453898,6494340,6541223,6591170,6646010,6708799,6771631,9035,43980,54607,40442,46883,49947,54840,62789,62832,3830,25505,34546,23220,29657,34080,40190,51251,50847,3.999340787,5.3754753,3.5865883839999997,4.550167875,5.19021933,6.072290322000001,7.675287606,7.5438246410000005
3,Texas,25241971,25645629,26084481,26480266,26964333,27470056,27914410,28295273,28628666,95880,403658,438852,395785,484067,505723,444354,380863,333393,42957,189731,226699,187455,267305,289708,231776,182978,155073,7.45686572,8.764682696,7.132346704,10.00306879,10.64430061,8.369711464,6.51055086,5.448428297
4,Utah,2775332,2814384,2853375,2897640,2936879,2981835,3041868,3101042,3153550,11441,39052,38991,44265,39239,44956,60033,59174,52508,1418,2170,4114,8780,4911,11419,27156,27227,21841,0.776425851,1.45172016,3.053374057,1.68342926,3.858608475,9.016380788,8.864528375,6.983988724
1,Vermont,625879,627049,626090,626210,625214,625216,623657,624344,624358,142,1170,-959,120,-996,2,-1559,687,14,-125,562,-1544,-221,-1433,-18,-1566,963,275,0.897098636,-2.464211871,-0.352950571,-2.290191014,-0.028790096,-2.5078610880000003,1.543267994,0.44045737100000004
3,Virginia,8023699,8101155,8185080,8252427,8310993,8361808,8410106,8463587,8501286,22650,77456,83925,67347,58566,50815,48298,53481,37699,11264,35449,41160,28404,18287,12684,10683,20101,6673,4.396815004,5.054575229,3.4559985280000003,2.208118855,1.521519989,1.273915428,2.382525272,0.786684345
4,Washington,6742830,6826627,6897058,6963985,7054655,7163657,7294771,7423362,7523869,18290,83797,70431,66927,90670,109002,131114,128591,100507,8181,46859,33476,31002,54672,73996,95817,94679,70762,6.9065401810000004,4.878573066,4.47325645,7.799900704,10.4085492,13.254138000000001,12.86562637,9.468241977
3,West Virginia,1854239,1856301,1856872,1853914,1849489,1842050,1831023,1817004,1804291,1221,2062,571,-2958,-4425,-7439,-11027,-14019,-12713,1404,3527,1538,-1532,-3296,-4710,-7954,-9734,-8119,1.9010710030000002,0.828402016,-0.8257010779999999,-1.779984517,-2.5517812490000003,-4.330978448,-5.336583309,-4.484031265
2,Wisconsin,5690475,5705288,5719960,5736754,5751525,5760940,5772628,5790186,5807406,3190,14813,14672,16794,14771,9415,11688,17558,17220,-2286,-4429,-4770,380,-2421,-6152,-3625,4220,4425,-0.777306443,-0.834992816,0.066336648,-0.421473051,-1.068754606,-0.628599927,0.729926124,0.763089441
4,Wyoming,564487,567299,576305,582122,582531,585613,584215,578931,577601,712,2812,9006,5817,409,3082,-1398,-5284,-1330,-56,-215,5729,2817,-2805,121,-4201,-7748,-3311,-0.379930482,10.01920245,4.863491614,-4.816885373,0.20716624,-7.182252434,-13.32248918,-5.725738674
X,Puerto Rico,3721525,3678732,3634488,3593077,3534874,3473232,3406672,3325286,3193354,-4632,-42793,-44244,-41411,-58203,-61642,-66560,-81386,-131932,-7097,-53776,-54784,-49883,-65089,-64757,-68278,-78188,-123399,-14.53354931,-14.98218295,-13.80354241,-18.26303239,-18.48059947,-19.84853277,-23.22890309,-37.86035124
